keyword,title,source,text,date,sentiment,score
Artificial Intelligence,"OpenAI's first-half revenue rises 16% to about $4.3 billion, The Information reports",CNA,openai s first half revenue rises to about billion the information reports openai generated around billion in revenue in the first half of about per cent more than it generated all of last year the information reported on monday citing financial disclosures to shareholders openai said it burned billion in a lar,2025-09-30T04:32:38Z,Positive,0.09523809523809525
Artificial Intelligence,"OpenAI's first-half revenue rises 16% to about $4.3 billion, The Information reports",Yahoo Entertainment,openai s first half revenue rises to about billion the information reports openai generated around billion in revenue in the first half of about more than it generated all of last year the information reported on,2025-09-30T04:30:12Z,Positive,0.11111111111111112
Artificial Intelligence,"OpenAI's first-half revenue rises 16% to about $4.3 billion, The Information reports",The Times of India,openai s first half revenue rises to about billion the information reports openai reportedly generated billion in revenue during the first half of exceeding last year s total by despite burning billion on ai research and development the company aims for billion in full year revenue and holds billion i,2025-09-30T04:29:21Z,Positive,0.07380952380952381
Artificial Intelligence,Opinion: The future of medical education is here - but it still needs love,The Irish Times,opinion the future of medical education is here but it still needs love new tcd course aims to reflect the tech revolutions demographic shifts and ethical quandaries that doctors will face,2025-09-30T04:00:00Z,Positive,0.1672727272727273
Artificial Intelligence,Responding to the climate impact of generative AI,Mit.edu,responding to the climate impact of generative ai mit experts discuss strategies and innovations aimed at mitigating the amount of greenhouse gas emissions generated by the training deployment and use of ai systems in the second in a two part series on the environmental impacts of generative artificial in,2025-09-30T04:00:00Z,Negative,-0.3
Artificial Intelligence,Cloudian launches object storage AI platform at corporate LLM,ComputerWeekly.com,cloudian launches object storage ai platform at corporate llm object storage specialist teams up with nvidia to provide rag based chatbot capability for organisations that want to mine in house information in an air gapped large language model,2025-09-30T04:00:00Z,Positive,0.10714285714285714
Artificial Intelligence,Applied Materials Powers Semiconductor Decarbonization in the Age of AI,CBS News,applied materials powers semiconductor decarbonization in the age of ai as the world enters an era shaped by artificial intelligence and other data driven applications the demand for energy efficient computing has never been greater applied materials stands at the intersection of technological innovation and environmental stewa,2025-09-30T04:00:00Z,Negative,-0.075
Artificial Intelligence,Seth Meyers Exposes The 'Secret' Trump Didn't Push In Bonkers AI Video,HuffPost,seth meyers exposes the secret trump didn t push in bonkers ai video the late night host named what s truly scary about the president peddling the conspiracy theory on social media,2025-09-30T03:53:58Z,Negative,-0.29166666666666663
Artificial Intelligence,Copper Set for Best Month in Year as Supply Snarls Rattle Market,Financial Post,copper set for best month in year as supply snarls rattle market copper headed for the biggest monthly advance in a year trading just below a month closing high as investors weighed supply setbacks against weak data from china s manufacturing sector,2025-09-30T03:47:19Z,Positive,0.26166666666666666
Artificial Intelligence,Is Bitcoin Topped: Why The Real Top May Still Be Ahead,Forbes,is bitcoin topped why the real top may still be ahead despite underperformance this year evidence points to bitcoin not topped yet liquidity ai and real crypto adoption fuel the case for more upside,2025-09-30T03:33:28Z,Positive,0.48333333333333334
Artificial Intelligence,Foreign Minister Addressed the United Nations General Assembly on Saturday,Globalsecurity.org,foreign minister addressed the united nations general assembly on saturday minister for foreign affairs orger ur katri n gunnarsdo ttir addressed the united nations general assembly on saturday september during the annual general debate in new york,2025-09-30T03:33:11Z,Neutral,0.0060606060606060675
Artificial Intelligence,"Raksha Mantri Addresses ICG Commanders' Conference in New Delhi; Calls for Futuristic Roadmap, Technological Vigilance, and Indigenous Strengthening of Maritime Security",Globalsecurity.org,raksha mantri addresses icg commanders conference in new delhi calls for futuristic roadmap technological vigilance and indigenous strengthening of maritime security raksha mantri shri rajnath singh addressed the inaugural session of the nd indian coast guard icg commanders conference in icg headquarters new delhi on september lauding the force s professionalism and humanitarian service while underlining i,2025-09-30T03:33:11Z,Positive,0.13636363636363635
Artificial Intelligence,AI is everywhere but who's accountable?,iTnews,ai is everywhere but who s accountable as artificial intelligence becomes embedded in nearly every sector experts warn that the pace of adoption has far outstripped the development of governance,2025-09-30T03:30:00Z,Negative,-0.13333333333333333
Artificial Intelligence,YouTube to pay $24.5m to settle lawsuit over Trump’s account suspension,Al Jazeera English,youtube to pay m to settle lawsuit over trump s account suspension video platform settles lawsuit filed in response to trump s suspension over the january riot at us capitol,2025-09-30T03:27:14Z,Neutral,0.0
